F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION
510050.SH,20180223,2.95300000,3.96700000,4.39906747,0,0.3980
510050.SH,20180226,2.97000000,3.98700000,4.42439228,0,0.3980
510050.SH,20180227,2.92300000,3.93200000,4.35437664,0,0.3980
510050.SH,20180228,2.87500000,3.87500000,4.28287131,0,0.3980
510050.SH,20180301,2.88700000,3.88900000,4.30074765,0,0.3980
510050.SH,20180302,2.86000000,3.85700000,4.26052590,0,0.3980
510050.SH,20180305,2.86000000,3.85700000,4.26052590,0,0.3980
510050.SH,20180306,2.88800000,3.89000000,4.30223734,0,0.3980
510050.SH,20180307,2.87400000,3.87400000,4.28138162,0,0.3980
510050.SH,20180308,2.89400000,3.89700000,4.31117551,0,0.3980
510050.SH,20180309,2.90400000,3.90900000,4.32607245,0,0.3980
510050.SH,20180312,2.90500000,3.91000000,4.32756214,0,0.3980
510050.SH,20180313,2.87900000,3.87900000,4.28883009,0,0.3980
510050.SH,20180314,2.86700000,3.86500000,4.27095376,0,0.3980
510050.SH,20180315,2.89000000,3.89200000,4.30521673,0,0.3980
510050.SH,20180316,2.86600000,3.86400000,4.26946406,0,0.3980
510050.SH,20180319,2.89200000,3.89500000,4.30819612,0,0.3980
510050.SH,20180320,2.89900000,3.90300000,4.31862398,0,0.3980
510050.SH,20180321,2.88900000,3.89100000,4.30372703,0,0.3980
510050.SH,20180322,2.86100000,3.85800000,4.26201559,0,0.3980
510050.SH,20180323,2.78600000,3.76900000,4.15028851,0,0.3980
510050.SH,20180326,2.73400000,3.70800000,4.07282441,0,0.3980
510050.SH,20180327,2.74200000,3.71700000,4.08474196,0,0.3980
510050.SH,20180328,2.69000000,3.65600000,4.00727786,0,0.3980
510050.SH,20180329,2.73300000,3.70700000,4.07133471,0,0.3980
510050.SH,20180330,2.71700000,3.68800000,4.04749960,0,0.3980
