TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,asharedividend,42,CASH_DVD_PER_SH_AFTER_TAX1,"decimal(24,8)",YES,,
financedata,chinaclosedfundeodprice,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaclosedfundeodprice,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaclosedfundeodprice,3,TRADE_DT,varchar(8),YES,MUL,
financedata,chinaclosedfundeodprice,4,CRNCY_CODE,varchar(10),YES,,
financedata,chinaclosedfundeodprice,5,S_DQ_PRECLOSE,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,6,S_DQ_OPEN,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,7,S_DQ_HIGH,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,8,S_DQ_LOW,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,9,S_DQ_CLOSE,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,10,S_DQ_CHANGE,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,11,S_DQ_PCTCHANGE,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,12,S_DQ_VOLUME,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,13,S_DQ_AMOUNT,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,14,S_DQ_ADJPRECLOSE,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,15,S_DQ_ADJOPEN,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,16,S_DQ_ADJHIGH,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,17,S_DQ_ADJLOW,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,18,S_DQ_ADJCLOSE,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,19,S_DQ_ADJFACTOR,"decimal(20,6)",YES,,
financedata,chinaclosedfundeodprice,20,TRADES_COUNT,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,21,DISCOUNT_RATE,"decimal(20,6)",YES,,
financedata,chinaclosedfundeodprice,22,S_DQ_AVGPRICE,"decimal(20,4)",YES,,
financedata,chinaclosedfundeodprice,23,OPDATE,date,YES,MUL,
financedata,chinaclosedfundeodprice,24,OPMODE,varchar(1),YES,,
financedata,chinaetfinvestclass,1,OBJECT_ID,varchar(38),NO,PRI,
financedata,chinaetfinvestclass,2,S_INFO_SECTOR,varchar(16),YES,,
financedata,chinaetfinvestclass,3,S_INFO_NAME,varchar(100),YES,MUL,
financedata,chinaetfinvestclass,4,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaetfinvestclass,5,OPDATE,date,YES,MUL,
financedata,chinaetfinvestclass,6,OPMODE,varchar(1),YES,,
financedata,chinaetfpchredmlist,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaetfpchredmlist,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaetfpchredmlist,3,TRADE_DT,varchar(8),YES,MUL,
financedata,chinaetfpchredmlist,4,F_INFO_CASHDIF,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,5,F_INFO_MINPRASET,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,6,F_INFO_ESTICASH,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,7,F_INFO_CASHSUBUPLIMIT,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,8,F_INFO_MINPRUNITS,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,9,F_INFO_PRPERMIT,"decimal(1,0)",YES,,
financedata,chinaetfpchredmlist,10,F_INFO_CONNUM,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,11,F_INFO_PURCHASE_CAP,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,12,F_INFO_REDEMPTION_CAP,"decimal(20,4)",YES,,
financedata,chinaetfpchredmlist,13,OPDATE,date,YES,MUL,
financedata,chinaetfpchredmlist,14,OPMODE,varchar(1),YES,,
financedata,chinaetfpchredmmembers,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaetfpchredmmembers,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaetfpchredmmembers,3,TRADE_DT,varchar(8),YES,MUL,
financedata,chinaetfpchredmmembers,4,S_CON_WINDCODE,varchar(40),YES,MUL,
financedata,chinaetfpchredmmembers,5,S_CON_STOCKNUMBER,"decimal(20,4)",YES,,
financedata,chinaetfpchredmmembers,6,F_INFO_CASHSUBSIGN,"decimal(1,0)",YES,,
financedata,chinaetfpchredmmembers,7,F_INFO_CASUBPREMRA,"decimal(20,4)",YES,,
financedata,chinaetfpchredmmembers,8,F_INFO_CASUBAMOUNT,"decimal(20,4)",YES,,
financedata,chinaetfpchredmmembers,9,CASUBPREDISC,"decimal(20,4)",YES,,
financedata,chinaetfpchredmmembers,10,REDMCASUBAMOUNT,"decimal(20,4)",YES,,
